To,Location
CLOCK_50,PIN_Y2
VGA_HS,PIN_G13
VGA_VS,PIN_C13
VGA_SYNC_N,PIN_C10
VGA_BLANK_N,PIN_F11
VGA_CLK,PIN_A12
VGA_R[0],PIN_E12
VGA_R[1],PIN_E11
VGA_R[2],PIN_D10
VGA_R[3],PIN_F12
VGA_R[4],PIN_G10
VGA_R[5],PIN_J12
VGA_R[6],PIN_H8
VGA_R[7],PIN_H10
VGA_G[0],PIN_G8
VGA_G[1],PIN_G11
VGA_G[2],PIN_F8
VGA_G[3],PIN_H12
VGA_G[4],PIN_C8
VGA_G[5],PIN_B8
VGA_G[6],PIN_F10
VGA_G[7],PIN_C9
VGA_B[0],PIN_B10
VGA_B[1],PIN_A10
VGA_B[2],PIN_C11
VGA_B[3],PIN_B11
VGA_B[4],PIN_A11
VGA_B[5],PIN_C12
VGA_B[6],PIN_D11
VGA_B[7],PIN_D12
